t_start_ms,i,o,h,l,c,v,n
1760822220000,RB2501,3000.48,3002.48,2991.84,2995.23,5341,100
1760822220000,HC2501,3000.01,3009.24,2998.85,3009.24,5033,100
t_start_ms,i,o,h,l,c,v,n
t_start_ms,i,o,h,l,c,v,n
t_start_ms,i,o,h,l,c,v,n
1760822700000,RB2501,3000.76,3043.5,2997.18,3033.07,90559,1762
1760822700000,HC2501,3000.05,3004.48,2960.95,2966.35,88852,1762
t_start_ms,i,o,h,l,c,v,n
1760823180000,RB2501,2999.67,3004.18,2945.7,2950.33,147774,2871
1760823180000,HC2501,3000.45,3023.48,2977.54,2995.57,149086,2871
1760823240000,RB2501,2951.05,2961.42,2919.58,2946.07,195109,3873
1760823240000,HC2501,2996.02,3001.91,2960.55,2961.78,198426,3873
1760823300000,RB2501,2946.79,2982.46,2937.4,2944.48,197863,3868
1760823300000,HC2501,2960.87,2975.02,2938.48,2967.34,196743,3868
1760823360000,RB2501,2944.85,2984.92,2942.47,2956.9,198657,3870
1760823360000,HC2501,2967.2,3057.57,2965.62,3039.1,198649,3870
1760823420000,RB2501,2956.98,2985.5,2947.79,2979.14,196739,3869
1760823420000,HC2501,3039.24,3072.8,3030.3,3042.01,197254,3869
1760823480000,RB2501,2979.87,3039.44,2976.84,3037.66,196834,3864
1760823480000,HC2501,3042.45,3044.35,2997.05,3011.38,197575,3864
1760823540000,RB2501,3037.66,3061.25,2998.35,3030.19,197938,3866
1760823540000,HC2501,3010.51,3022.19,2979.57,2992.04,197772,3866
1760823600000,RB2501,3029.43,3045.51,2997.01,2999.56,196909,3867
1760823600000,HC2501,2991.88,3052.48,2986.37,3045.21,196217,3867
1760823660000,RB2501,2998.76,3053.8,2997.61,3014.62,196829,3871
1760823660000,HC2501,3044.69,3053.87,3005.99,3043.95,198262,3871
1760823720000,RB2501,3013.84,3078.06,3005.75,3076.48,196535,3873
1760823720000,HC2501,3043.72,3046.03,2970.15,2970.79,200429,3873
1760823780000,RB2501,3077.23,3105.98,3061.97,3073.43,197710,3867
1760823780000,HC2501,2970.64,3006.1,2964.77,2983.05,196326,3867
1760823840000,RB2501,3073.7,3092.06,3003.37,3033.41,199527,3865
1760823840000,HC2501,2982.6,3034.8,2953.32,3030.46,197263,3865
1760823900000,RB2501,3034.2,3055.44,3011.67,3021.61,198266,3869
1760823900000,HC2501,3030.38,3065.25,3004.5,3038.48,197723,3869
1760823960000,RB2501,3021.72,3060.83,3019.68,3048.08,196321,3870
1760823960000,HC2501,3037.74,3064.56,3028.05,3041.9,196283,3870
